latitude,logitude,num_other_station(2km),weight,num_safezone(5km),weight(safezone),weight_sum,lpg_name
35.8707117,127.1114238,3,4,4,2,6,덕진LPG충전소
35.8421653,127.1746824,0,1,5,3,4,전주산정충전소
35.8548146,127.1036598,8,5,4,2,7,비사벌가스충전소
35.8737527,127.152206,4,5,8,3,8,대일엘피지충전소
35.8631365,127.0869277,4,5,3,2,7,동산엘피지충전소
35.8645597,127.0616682,3,4,0,1,5,경기장LPG충전소
35.8514,127.1105068,5,5,5,3,8,신협제2LPG충전소
35.8879766,127.0767264,2,3,5,3,6,길상LPG충전소
35.8622781,127.1517989,4,5,8,3,8,서림가스충전소
35.8537666,127.072686,4,5,0,1,6,(유)동유오렌지LPG충전소
35.8928172,127.0775132,2,3,5,3,6,고랑엘피지충전소
35.8527103,127.1123056,6,5,5,3,8,은혜충전소
35.8393223,127.1303003,0,1,9,3,4,호남가스충전소
35.8583201,127.1052734,6,5,4,2,7,(유)전주에너지충전소
35.8702414,127.1094945,4,5,4,2,7,오송충전소
35.8646616,127.0837523,3,4,2,2,6,(유)대성엘피지충전소
35.86276480000001,127.1558417,4,5,9,3,8,만남의충전소
35.8602212,127.0544628,2,3,0,1,4,혁신도시LPG충전소
35.801944,127.1018201,2,3,4,2,5,(주)반디이원전주점
35.8374957,127.1043307,4,5,4,2,7,전주개인택시신협LPG충전소
35.7876796,127.194006,2,3,2,2,5,전주유성LPG충전소
35.7908099,127.0688591,1,2,4,2,4,(유)삼영에너지
35.7534401,127.0883323,0,1,3,2,3,(유)일진엘피지충전소
35.7809141,127.12584,1,2,6,3,5,전주평화엘피지충전소
35.8222348,127.0843408,1,2,4,2,4,한일충전소
35.8119763,127.1137074,1,2,5,3,5,(주)피더스이엔에스
35.8381614,127.1040332,4,5,4,2,7,서곡가스충전소
35.8247227,127.0729819,1,2,4,2,4,(유)동유산업상림충전소
35.7965982,127.0862503,2,3,4,2,5,하은충전소
35.7785963,127.1983373,2,3,1,2,5,대광엘피지충전소
35.8000877,127.1714081,0,1,3,2,3,소망엘피지충전소
35.7710396,127.1227884,1,2,6,3,5,(유)푸른기업
35.780673,127.1991648,2,3,1,2,5,(주)진성에너지색장충전소
35.5816321,126.8359283,1,2,19,4,6,연송엘피지충전소
35.554575,126.8761548,1,2,16,4,6,내장가스충전소
35.712038,126.8490103,0,1,4,2,3,(유)에버그린에너지
35.561197,126.852745,1,2,19,4,6,호남가스충전소
35.5897361,126.8638238,3,4,20,5,9,하북충전소
35.5699903,126.8657651,2,3,20,5,8,신흥엘피지충전소
35.6158267,126.7427032,0,1,1,2,3,눌제충전소
35.6007105,126.8648694,3,4,18,4,8,(주)삼건사정읍(상)휴게소충전소
35.5735522,126.8350358,1,2,18,4,6,정주가스충전소
35.6015047,126.8618299,3,4,19,4,8,정읍휴게소(하)충전소
35.6974656,126.8967279,0,1,4,2,3,신태인엘피지충전소
35.5982267,126.8756641,3,4,17,4,8,정읍공단엘피지충전소
35.7888805,127.4412063,1,2,5,3,5,진안충전소
35.7757235,127.4258313,1,2,4,2,4,한화호텔앤드리조트(주)진안(장수방향)충전소
35.777786,127.363738,0,1,2,2,3,반석충전소
35.77780740000001,127.3967376,0,1,4,2,3,마이산LPG충전소
35.7776469,127.4271415,2,3,4,2,5,한화호텔앤드리조트(주)진안(익산방향)충전소
